season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
21/22,268093,Zebre Parma,home,26,loss,105,398,17,7,17,174,15,7,15,734,6,8,2,16,75,19,12,2,0,3,0,2,0
21/22,268093,Emirates Lions,away,38,win,71,331,19,4,7,85,11,10,21,868,5,6,2,10,121,17,14,2,1,0,1,2,0
21/22,268094,Glasgow Warriors,away,29,loss,165,298,23,5,8,173,14,7,25,719,11,8,0,11,121,11,9,0,0,1,0,2,0
21/22,268094,Ulster Rugby,home,35,win,92,305,11,6,6,101,13,3,19,589,5,6,4,11,214,23,8,2,0,2,0,2,0
21/22,268095,Connacht Rugby,away,21,loss,88,330,23,5,42,107,17,8,19,863,5,5,4,15,131,23,9,0,0,2,0,3,0
21/22,268095,Cardiff Rugby,home,33,win,149,518,23,9,61,183,16,7,26,1000,8,3,0,10,72,23,13,4,0,4,1,3,0
21/22,268096,Benetton Rugby,home,22,win,147,431,21,4,20,144,10,5,25,935,7,13,1,17,48,16,10,0,0,1,0,1,0
21/22,268096,DHL Stormers,away,18,loss,58,241,16,5,6,78,10,7,24,1056,5,5,3,10,199,21,11,2,0,3,0,2,0
21/22,268097,Vodacom Bulls,away,3,loss,124,375,17,4,14,133,15,5,23,1108,5,5,3,13,128,31,11,4,0,3,1,2,0
21/22,268097,Leinster Rugby,home,31,win,131,618,31,6,14,167,14,8,25,1070,6,6,0,13,148,17,15,3,0,5,1,4,0
21/22,268098,Scarlets,away,22,loss,106,371,13,8,41,128,20,10,14,584,9,6,5,16,137,32,7,2,1,1,1,0,0
21/22,268098,Edinburgh Rugby,home,26,win,118,399,32,8,24,141,13,9,21,525,8,10,1,7,100,13,19,2,2,1,1,2,0
21/22,268099,Munster Rugby,home,42,win,133,400,10,6,17,156,12,4,20,808,4,6,1,17,104,17,8,0,1,0,1,3,0
21/22,268099,Hollywoodbets Sharks,away,17,loss,80,311,17,4,4,103,10,4,17,560,5,4,2,9,148,10,17,2,0,2,0,2,0
21/22,268100,Dragons RFC,home,23,loss,117,309,9,2,4,146,11,6,40,1190,4,6,5,14,120,11,12,3,0,2,1,4,0
21/22,268100,Ospreys,away,27,win,102,393,11,5,6,140,14,6,39,1065,3,4,1,12,149,9,12,3,0,3,1,4,0
21/22,268101,Vodacom Bulls,away,7,loss,142,408,19,6,15,151,18,5,27,921,3,6,2,12,170,27,11,1,0,2,0,2,0
21/22,268101,Connacht Rugby,home,34,win,152,572,27,8,17,177,14,8,31,970,7,7,2,14,165,19,9,2,1,2,2,0,0
21/22,268102,Emirates Lions,away,13,loss,117,350,23,2,5,105,19,4,18,894,2,6,3,15,97,12,12,2,0,3,2,2,0
21/22,268102,Scarlets,home,36,win,103,571,12,7,7,146,10,8,27,902,8,8,1,7,155,23,17,2,1,2,1,5,0
21/22,268103,Benetton Rugby,home,28,win,117,357,18,3,4,127,16,3,24,769,5,5,2,14,86,15,13,4,0,4,0,2,0
21/22,268103,Edinburgh Rugby,away,27,loss,93,409,15,5,9,111,16,10,25,670,8,5,1,12,142,18,13,3,0,3,0,3,0
21/22,268104,Glasgow Warriors,home,35,win,121,426,15,7,24,155,11,5,22,669,6,4,2,11,97,4,13,2,1,3,0,4,0
21/22,268104,Hollywoodbets Sharks,away,24,loss,77,222,4,0,5,85,15,8,18,713,5,3,6,12,116,15,10,1,0,3,0,4,0
