kpi,n,acc_abs,acc_rel,acc_improvement,auc_abs,auc_rel,auc_improvement,sport
final_points,283,0.759717314487632,1,31.6279069767442,0.831005431770314,1,20.3361568732075,rugby
carries,283,0.657243816254417,0.657243816254417,0,0.511528655359716,0.448786165613568,-12.2656842561491,rugby
metres_made,283,0.660777385159011,0.671378091872792,1.6042780748663,0.658408158740716,0.692439862542955,5.16878525128377,rugby
defenders_beaten,283,0.657243816254417,0.65017667844523,-1.07526881720431,0.517736392861102,0.552377785167941,6.690932448346,rugby
clean_breaks,283,0.657243816254417,0.706713780918728,7.52688172043011,0.677918190887928,0.746147877175479,10.0645899762897,rugby
offloads,283,0.660777385159011,0.643109540636042,-2.67379679144385,0.556645604700144,0.501829065513801,-9.84765508314249,rugby
passes,283,0.657243816254417,0.657243816254417,0,0.486365147988028,0.396131249307172,-18.5527065527066,rugby
turnovers_conceded,283,0.636042402826855,0.639575971731449,0.55555555555556,0.500554262276909,0.551989801574105,10.2757169748644,rugby
turnovers_won,283,0.657243816254417,0.657243816254417,0,0.480877951446625,0.577984702361157,20.1936376210235,rugby
kicks_from_hand,283,0.653710247349823,0.667844522968198,2.16216216216216,0.478938033477442,0.671655027158852,40.2383983335262,rugby
kick_metres,283,0.657243816254417,0.685512367491166,4.3010752688172,0.464527214277796,0.700642944241215,50.8292566519508,rugby
scrums_won,283,0.643109540636042,0.653710247349823,1.64835164835164,0.532535195654584,0.555758785057089,4.3609492089925,rugby
rucks_won,283,0.657243816254417,0.646643109540636,-1.61290322580645,0.390200642944241,0.4565458374903,17.0028409090909,rugby
lineout_throws_lost,283,0.657243816254417,0.657243816254417,0,0.413756789712892,0.501053098326128,21.0984594775619,rugby
lineout_throws_won,283,0.657243816254417,0.653710247349823,-0.537634408602154,0.502217049107638,0.582917636625651,16.0688665710187,rugby
tackles,283,0.657243816254417,0.657243816254417,0,0.43476333000776,0.408435871854562,-6.05558388577254,rugby
missed_tackles,283,0.643109540636042,0.65017667844523,1.09890109890109,0.532368916971511,0.552488637623323,3.77928162415407,rugby
penalties_conceded,283,0.674911660777385,0.710247349823322,5.23560209424084,0.643443077264161,0.667331781398958,3.71263674735118,rugby
scrum_pens_conceded,283,0.657243816254417,0.713780918727915,8.6021505376344,0.667664338765104,0.712615009422459,6.73252531960815,rugby
lineout_pens_conceded,283,0.657243816254417,0.657243816254417,0,0.397516904999446,0.368861545283228,-7.20858895705522,rugby
general_play_pens_conceded,283,0.636042402826855,0.646643109540636,1.66666666666668,0.590289324908547,0.591453275690057,0.197183098591543,rugby
free_kicks_conceded,283,0.65017667844523,0.657243816254417,1.08695652173914,0.43359937922625,0.395244429664117,-8.84571136392687,rugby
ruck_maul_tackle_pen_con,283,0.657243816254417,0.657243816254417,0,0.377729741713779,0.394579314931826,4.46074834922965,rugby
red_cards,283,0.678445229681979,0.65017667844523,-4.16666666666668,0.45710009976721,0.457543509588737,0.0970049715047955,rugby
goals,1114,0.808797127468582,1,23.6403995560488,0.86637437179387,1,15.423543511502,football
np_goals,1114,0.791741472172352,0.964093357271095,21.7687074829932,0.846008124365284,0.977104653282296,15.495894795971,football
xg,1114,0.657091561938959,0.684021543985637,4.0983606557377,0.697549670598651,0.731948024893889,4.93131252799764,football
np_xg,1114,0.636445242369838,0.670556552962298,5.35966149506346,0.676734239512538,0.718313022420123,6.14403416879501,football
penalty_xg,1114,0.591561938958707,0.591561938958707,0,0.519519959378174,0.535648256646616,3.1044615278587,football
np_shots,1114,0.552962298025135,0.566427289048474,2.43506493506493,0.566388042600839,0.572950029945577,1.15856742218748,football
own_goals,1114,0.549371633752244,0.559245960502693,1.79738562091504,0.484242767492123,0.4960419758873,2.43663079498021,football
penalty_goals,1114,0.59605026929982,0.595152603231598,-0.150602409638553,0.51660026560425,0.53127685337083,2.84099500982913,football
shots,1114,0.5754039497307,0.566427289048474,-1.56006240249611,0.573880946801031,0.578782907585345,0.85417730134424,football
shots_inside_box,1114,0.562836624775583,0.580789946140036,3.18979266347687,0.589823711689191,0.596294560320808,1.09708180654277,football
shots_outside_box,1114,0.540394973070018,0.53770197486535,-0.498338870431889,0.458398432414134,0.462343436710674,0.860605974536866,football
penalties,1114,0.591561938958707,0.591561938958707,0,0.519519959378174,0.535648256646616,3.1044615278587,football
big_chances,1114,0.654398563734291,0.671454219030521,2.60631001371742,0.662965783923131,0.723127099445356,9.0745732255166,football
corners,1114,0.531418312387792,0.531418312387792,0,0.511743874176497,0.498440877014817,-2.59954204299707,football
free_kicks,1114,0.549371633752244,0.549371633752244,0,0.452233549462282,0.444991276723173,-1.60144525936216,football
set_pieces,1114,0.560143626570916,0.552962298025135,-1.28205128205129,0.585572741712887,0.562592766190141,-3.92435881757847,football
sp_goals,1114,0.629263913824057,0.636445242369838,1.14122681883025,0.579329739864073,0.635292164674635,9.65985706580367,football
sp_xg,1114,0.547576301615799,0.543985637342908,-0.655737704918047,0.493398953206781,0.495150118480327,0.354918724931383,football
sp_shots,1114,0.549371633752244,0.547576301615799,-0.326797385620912,0.474569044085098,0.482208421217092,1.60975040981076,football
shots_on_target,1114,0.644524236983842,0.696588868940754,8.07799442896936,0.705081634247324,0.751822774262427,6.62918132380504,football
np_shots_on_target,1114,0.636445242369838,0.691202872531418,8.60366713681241,0.693679530245033,0.742201130120043,6.99481500598271,football
op_goals,1114,0.75673249551167,0.858168761220826,13.4045077105575,0.803664427258287,0.906358227221832,12.778194042243,football
op_xg,1114,0.646319569120287,0.694793536804309,7.5,0.689975392547457,0.739834778532927,7.22625567868212,football
op_shots,1114,0.576301615798923,0.574506283662478,-0.311526479750776,0.592115199333385,0.600988204046559,1.49852676019174,football
goals_from_counters,1114,0.604129263913824,0.608617594254937,0.742942050520053,0.528396219045387,0.581054865505299,9.96575004928051,football
xg_from_counters,1114,0.587971274685817,0.616696588868941,4.8854961832061,0.581617972554228,0.643722495638362,10.6778892700644,football
passes,1114,0.542190305206463,0.53770197486535,-0.827814569536417,0.468527849386767,0.507639377131995,8.34774876166262,football
successful_passes,1114,0.544883303411131,0.535008976660682,-1.81219110378913,0.42686443767414,0.473895268598807,11.0177439893856,football
op_passes,1114,0.545780969479354,0.536804308797127,-1.64473684210527,0.450859958857381,0.480997578314194,6.68447460563838,football
successful_op_passes,1114,0.543985637342908,0.545780969479354,0.330033003300348,0.413454027029138,0.453900085930787,9.78248033820645,football
passes_inside_box,1114,0.549371633752244,0.552064631956912,0.490196078431368,0.45082740931698,0.522849777361144,15.9755965488611,football
successful_passes_inside_box,1114,0.548473967684022,0.568222621184919,3.60065466448444,0.558029320625993,0.591695310262219,6.03301446570229,football
passes_into_box,1114,0.58886894075404,0.572710951526032,-2.74390243902439,0.614753404681926,0.590217561128037,-3.99116838833675,football
successful_passes_into_box,1114,0.549371633752244,0.549371633752244,0,0.473328906595839,0.442410098169414,-6.5322037161837,football
op_passes_into_box,1114,0.5754039497307,0.557450628366248,-3.12012480499221,0.593140509856001,0.573262505533422,-3.35131456919115,football
successful_op_passes_into_box,1114,0.549371633752244,0.544883303411131,-0.81699346405228,0.454450173163555,0.480187094758222,5.66330988840981,football
passes_into_final_third,1114,0.553859964093357,0.561041292639138,1.29659643435981,0.544625419889071,0.541399760435383,-0.592271189682161,football
successful_passes_into_final_third,1114,0.552064631956912,0.544883303411131,-1.30081300813007,0.533373043772622,0.525339817201781,-1.5061178409056,football
op_passes_into_final_third,1114,0.561041292639138,0.579892280071813,3.35999999999999,0.569909902872171,0.57579811473062,1.03318293449082,football
successful_op_passes_into_final_third,1114,0.53770197486535,0.550269299820467,2.33722871452421,0.537129260734838,0.534948441528006,-0.406013852950241,football
passes_in_final_third,1114,0.546678635547576,0.540394973070018,-1.14942528735633,0.521339478686561,0.500901622269094,-3.92025872833523,football
successful_passes_in_final_third,1114,0.549371633752244,0.549371633752244,0,0.453183996041976,0.441882795614926,-2.49373334578285,football
passes_in_middle_third,1114,0.548473967684022,0.535008976660682,-2.45499181669394,0.47009673723407,0.512333020857745,8.9845940799723,football
successful_passes_in_middle_third,1114,0.551166965888689,0.535906642728905,-2.76872964169381,0.444473739030805,0.479347316615889,7.84603780217204,football
passes_in_own_third,1114,0.535906642728905,0.546678635547576,2.01005025125628,0.431893341666016,0.487920865557378,12.9725370794646,football
successful_passes_in_own_third,1114,0.541292639138241,0.552962298025135,2.1558872305141,0.435737442387313,0.512925422493034,17.7143326685043,football
forward_passes,1114,0.546678635547576,0.553859964093357,1.31362889983579,0.489851053303127,0.540953831731896,10.4323095937379,football
sideways_passes,1114,0.535906642728905,0.533213644524237,-0.502512562814066,0.483484363200792,0.52596476837747,8.78630384144123,football
backward_passes,1114,0.546678635547576,0.547576301615799,0.164203612479473,0.424026117751217,0.44748457151785,5.53231340820291,football
forward_passes_in_final_third,1114,0.549371633752244,0.536804308797127,-2.28758169934641,0.454274405645392,0.50598260552561,11.3825914992405,football
sideways_passes_in_final_third,1114,0.552064631956912,0.551166965888689,-0.162601626016259,0.539664869932037,0.528288805562065,-2.10798682734411,football
backward_passes_in_final_third,1114,0.549371633752244,0.548473967684022,-0.163398692810456,0.433751920422884,0.45144259563055,4.07852377700567,football
deep_completions,1114,0.543985637342908,0.547576301615799,0.660066006600675,0.534453688513918,0.566876285706846,6.06649329768512,football
long_balls,1114,0.556552962298025,0.587073608617594,5.48387096774195,0.565645913079707,0.602186027133297,6.45989181724017,football
successful_long_balls,1114,0.561041292639138,0.581687612208258,3.67999999999999,0.564024945967763,0.585566231804807,3.81920799621428,football
