sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
rugby,final_points,home,23/24,1,142,0.703271754841074,3.00296196530079,0.955725706478419,0.000159293039587949,1,0.119929496695177,0,1,NotNormal
rugby,final_points,away,23/24,1,142,0.567412574780823,3.22748788242196,0.973229177966056,0.00689980540076396,1,0.0812083938601765,0.02,1,NotNormal
rugby,final_points,diff,23/24,1,142,0.158833051023554,3.23497644457523,0.987745804993868,0.243230518828904,0,0.0897843588644341,0.005,1,NotNormal
rugby,carries,home,23/24,1,142,0.408866788195655,2.97305372294437,0.980030025350017,0.0359373120222912,1,0.0899354776120336,0.005,1,NotNormal
rugby,carries,away,23/24,1,142,0.252617796004002,2.45272401235127,0.980896654595499,0.0446012871348914,1,0.102178694540506,0,1,NotNormal
rugby,carries,diff,23/24,1,142,0.0510992474667009,2.39726676677899,0.984255458201166,0.10338474758711,0,0.0501251572069022,0.532594086021505,0,Normal
rugby,metres_made,home,23/24,1,142,0.711887370290983,4.38825157952557,0.965281758298474,0.00114393134499435,1,0.0618977714845416,0.207235142118863,0,NotNormal
rugby,metres_made,away,23/24,1,142,0.214389910088355,2.6340765165245,0.990141219241853,0.4190724086849,0,0.0499214565506765,0.528781793842035,0,Normal
rugby,metres_made,diff,23/24,1,142,0.701997464678297,4.81803804525697,0.969675674160592,0.00303305107275476,1,0.0644178511222826,0.148976982097187,0,NotNormal
rugby,defenders_beaten,home,23/24,1,142,0.294080621615597,2.82016122299877,0.98630006197464,0.171551695351452,0,0.0610282832761548,0.225991399904443,0,Normal
rugby,defenders_beaten,away,23/24,1,142,0.378644116457194,3.05194136564717,0.98624610825936,0.169299706150397,0,0.0635646579040897,0.172150411280846,0,Normal
rugby,defenders_beaten,diff,23/24,1,142,-0.0375590493583999,2.73052531976557,0.993206971321636,0.738168087658301,0,0.0572664988322206,0.311658330126972,0,Normal
rugby,clean_breaks,home,23/24,1,142,0.555568539487091,3.84736840303685,0.965258535940074,0.00113818730347526,1,0.100435869027912,0.002,1,NotNormal
rugby,clean_breaks,away,23/24,1,142,0.578906722904545,3.1046337805839,0.957690735432947,0.000235195474328487,1,0.106244672216155,0.001,1,NotNormal
rugby,clean_breaks,diff,23/24,1,142,0.418728895978615,4.70174473802912,0.971169710289373,0.00426954784836353,1,0.0922327602186096,0.002,1,NotNormal
rugby,offloads,home,23/24,1,142,0.525792551723908,3.19583104637684,0.973233298347051,0.00690650307823704,1,0.0919468540490695,0.007,1,NotNormal
rugby,offloads,away,23/24,1,142,0.449298220626031,2.86673668264442,0.971357667229602,0.00445889085925821,1,0.119999598190536,0,1,NotNormal
rugby,offloads,diff,23/24,1,142,0.279484597923465,3.04860331515434,0.981736305742466,0.0550201991868113,0,0.0714794680320586,0.079,0,Normal
rugby,passes,home,23/24,1,142,0.407953210553727,2.89544913383931,0.981868412668673,0.0568703483561639,0,0.0552580570925191,0.367280606717226,0,Normal
rugby,passes,away,23/24,1,142,0.444114206339212,2.5764707083907,0.973772505388701,0.0078441574949436,1,0.0950399328868687,0.008,1,NotNormal
rugby,passes,diff,23/24,1,142,0.176789061918844,2.70059642163702,0.993609014954109,0.781013392829321,0,0.0537423057379898,0.414030261348006,0,Normal
rugby,turnovers_conceded,home,23/24,1,142,0.193251657673492,2.37704418034212,0.976950333786141,0.0168299771644143,1,0.080364794984757,0.026,1,Close
rugby,turnovers_conceded,away,23/24,1,142,0.407165993824141,3.02207778619017,0.976320587384499,0.0144424365740151,1,0.123663330165199,0,1,NotNormal
rugby,turnovers_conceded,diff,23/24,1,142,0.0254702670459239,2.73207284138484,0.98935024370788,0.352446628622437,0,0.0786274805895028,0.028,1,Close
rugby,turnovers_won,home,23/24,1,142,0.500823491081985,2.95311198936393,0.966694531979087,0.0015574720004824,1,0.119074241736705,0,1,NotNormal
rugby,turnovers_won,away,23/24,1,142,0.353765733422348,3.60118707173832,0.966522055954226,0.00149951508914592,1,0.114545304413186,0,1,NotNormal
rugby,turnovers_won,diff,23/24,1,142,0.00103395091347372,3.49456391087263,0.983824380124328,0.0928247906921131,0,0.0779682479685228,0.034,1,Close
rugby,kicks_from_hand,home,23/24,1,142,-0.0227888271756081,3.20033644145935,0.993071496287037,0.72343251141359,0,0.0775618743132175,0.04,1,Close
rugby,kicks_from_hand,away,23/24,1,142,0.34320122976827,3.23774553570638,0.987027335725185,0.204758049870846,0,0.067015043819814,0.12178517397882,0,Normal
rugby,kicks_from_hand,diff,23/24,1,142,-0.0174075227501732,3.05507513849374,0.992892492233313,0.703815957863727,0,0.0620658221442128,0.211411105450841,0,Normal
rugby,kick_metres,home,23/24,1,142,0.0998382750575058,2.80289984694749,0.997215843180043,0.996022860873947,0,0.040641216108172,0.847826086956522,0,Normal
rugby,kick_metres,away,23/24,1,142,0.382498977779974,2.99200047408737,0.982650668850785,0.0691824819796634,0,0.0736128432788739,0.063,0,Normal
rugby,kick_metres,diff,23/24,1,142,0.152313404949584,3.00345512964989,0.99369724701392,0.790180047438504,0,0.0379194443668983,0.908,0,Normal
rugby,scrums_won,home,23/24,1,142,0.458678726740088,4.01578958655938,0.96636850120924,0.00144981805968103,1,0.115863339439384,0,1,NotNormal
rugby,scrums_won,away,23/24,1,142,0.379034817787682,2.50496574148644,0.956651210591243,0.000191198325449893,1,0.134965912876502,0,1,NotNormal
rugby,scrums_won,diff,23/24,1,142,-0.0978123023332405,2.89463538642776,0.988782032604549,0.309867530850718,0,0.0873202570125836,0.008,1,NotNormal
rugby,rucks_won,home,23/24,1,142,0.447612117225639,3.06644905463508,0.961566752194789,0.00051926734854324,1,0.141163780467107,0,1,NotNormal
rugby,rucks_won,away,23/24,1,142,0.37563484411162,3.04823008052356,0.971796130788607,0.00493547557600982,1,0.103857504685414,0.001,1,NotNormal
rugby,rucks_won,diff,23/24,1,142,-0.0796310774689808,2.51230599230149,0.982732692629943,0.0706192485224888,0,0.104732473239887,0,1,NotNormal
rugby,lineout_throws_lost,home,23/24,1,142,0.706333766404342,2.88418647778227,0.895829001851958,1.56605315382308e-08,1,0.203105327598607,0,1,NotNormal
rugby,lineout_throws_lost,away,23/24,1,142,0.520666598652115,2.68382184460331,0.921199800108724,4.72092974268534e-07,1,0.164373210412687,0,1,NotNormal
rugby,lineout_throws_lost,diff,23/24,1,142,0.194310777428596,2.81365816380025,0.972343420990187,0.00560600153144997,1,0.120148493874238,0,1,NotNormal
