sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
rugby,carries,home,21/22,1,141,0.205980435545162,2.29840900949067,0.983652109198167,0.0912057589253422,0,0.0706831942771562,0.087,0,Normal
rugby,carries,away,21/22,1,141,0.35769227860109,2.97608229513864,0.985811766306253,0.155482648809136,0,0.0831296418749355,0.015,1,Close
rugby,carries,diff,21/22,1,141,-0.209669382639999,2.69802608438268,0.988075087749744,0.26746435656943,0,0.0526192475370209,0.446086664427276,0,Normal
rugby,metres_made,home,21/22,1,141,0.60141057350316,3.2188585033827,0.972615479034263,0.00622545768635596,1,0.0814073538043121,0.023,1,NotNormal
rugby,metres_made,away,21/22,1,141,0.072297559645954,2.75998742135647,0.991542241682646,0.561908969832092,0,0.0660800803643181,0.12089552238806,0,Normal
rugby,metres_made,diff,21/22,1,141,0.434819481973507,3.13440396376122,0.985922163375111,0.159735059785587,0,0.0483363291235968,0.58126908720733,0,Normal
rugby,defenders_beaten,home,21/22,1,141,0.661024108714085,3.17021590193329,0.962875446489567,0.000719457308034466,1,0.0739102732201878,0.069,0,NotNormal
rugby,defenders_beaten,away,21/22,1,141,0.386284330938356,2.80902515276932,0.977790189728159,0.0213916580567882,1,0.0967671342695983,0.003,1,NotNormal
rugby,defenders_beaten,diff,21/22,1,141,0.139668224030345,3.07222752710048,0.994547719347325,0.874502079195345,0,0.0432492756028179,0.760628465804067,0,Normal
rugby,clean_breaks,home,21/22,1,141,0.642809441445196,3.35371545524041,0.958385700024082,0.00028583747873645,1,0.113362465923725,0,1,NotNormal
rugby,clean_breaks,away,21/22,1,141,0.610476455941711,2.68011889459143,0.940477335998096,1.05233808271876e-05,1,0.146974208404609,0,1,NotNormal
rugby,clean_breaks,diff,21/22,1,141,0.285422383956809,3.31950427088217,0.985339005136908,0.138459602040329,0,0.0829718780720954,0.021,1,Close
rugby,offloads,home,21/22,1,141,3.15534797865441,22.4059204661366,0.776140196217453,2.13273843030493e-13,1,0.127198806782937,0,1,NotNormal
rugby,offloads,away,21/22,1,141,2.39971102606946,12.7873686586769,0.816311018057207,5.23403542729284e-12,1,0.147163701824265,0,1,NotNormal
rugby,offloads,diff,21/22,1,141,0.0246570192507429,2.96025053847104,0.992455751313581,0.660596611374497,0,0.0619582116138648,0.203777335984095,0,Normal
rugby,passes,home,21/22,1,141,0.396675117789216,2.84971237438779,0.983274405012527,0.0830291125107114,0,0.0605258992066056,0.241706161137441,0,Normal
rugby,passes,away,21/22,1,141,0.289939609225739,3.36154985415309,0.988115646823564,0.27000393291165,0,0.0615115315015211,0.218687872763419,0,Normal
rugby,passes,diff,21/22,1,141,-0.286486662167592,2.94893901453722,0.990917986271362,0.497962789790235,0,0.0565764555371489,0.338022954461311,0,Normal
rugby,turnovers_conceded,home,21/22,1,141,0.35750382106058,3.62273946426893,0.980805529316984,0.0449333048326124,1,0.0924694531932508,0.002,1,NotNormal
rugby,turnovers_conceded,away,21/22,1,141,0.291622956672764,2.91905617283045,0.97573541881784,0.0130149325305375,1,0.107584767028738,0,1,NotNormal
rugby,turnovers_conceded,diff,21/22,1,141,-0.0383760266929138,2.8274898332046,0.990854669964824,0.491700337185716,0,0.0653817965078622,0.156431803490627,0,Normal
rugby,turnovers_won,home,21/22,1,141,0.390009332119367,3.23154868801578,0.968405510976323,0.00238441132711753,1,0.102167187981865,0,1,NotNormal
rugby,turnovers_won,away,21/22,1,141,0.21559303324434,2.53217848827551,0.973542729154445,0.00773339984277777,1,0.105973021988275,0.001,1,NotNormal
rugby,turnovers_won,diff,21/22,1,141,0.0210449043010376,2.53034418958233,0.983694877683352,0.0921804027788727,0,0.076355569764689,0.048,1,Close
rugby,kicks_from_hand,home,21/22,1,141,0.848320536408269,3.85551782839913,0.951990455470449,8.23638172355867e-05,1,0.103281199271979,0.001,1,NotNormal
rugby,kicks_from_hand,away,21/22,1,141,0.827792063669077,4.12631634112464,0.950221209889643,5.91738961049915e-05,1,0.0897204636066112,0.009,1,NotNormal
rugby,kicks_from_hand,diff,21/22,1,141,0.0712316645013137,2.60668502754489,0.991882856222249,0.598202754109164,0,0.051329901179589,0.479865771812081,0,Normal
rugby,kick_metres,home,21/22,1,141,0.874567551389064,4.30685072371888,0.952897041194983,9.77862892724835e-05,1,0.0742416928132055,0.057,0,NotNormal
rugby,kick_metres,away,21/22,1,141,0.948261622567098,4.71619439748693,0.955201984296802,0.00015233648522095,1,0.0696077679211691,0.102,0,NotNormal
rugby,kick_metres,diff,21/22,1,141,0.10932371000452,3.31961547949267,0.993283622744894,0.750718382828541,0,0.0533978265369811,0.419518807184005,0,Normal
rugby,scrums_won,home,21/22,1,141,-0.0434624661165484,2.34689184412087,0.973381598007978,0.00744629304778277,1,0.105520761337271,0,1,NotNormal
rugby,scrums_won,away,21/22,1,141,0.663698606525053,3.40201040400389,0.954344205560317,0.000129016119849945,1,0.156010698191,0,1,NotNormal
