sport,kpi,role,quadrant,kappa,rho,eta,n,abs_dev_eta_1,rank_in_group,criterion
football,forward_passes,unclassified,Q1,1.05634440600485,0.225333406517784,1.2907369542934,1114,0.290736954293403,1,quadrant:Q1
football,yellow_cards,discipline,Q1,1.09767867494664,0.160917178101385,1.19152959367071,1114,0.191529593670708,2,quadrant:Q1
football,successful_tackles,defensive,Q1,1.12794739865275,0.120353901076867,1.13653947446891,1114,0.136539474468907,3,quadrant:Q1
football,regains,defensive,Q2,0.958751609370636,0.38738025378103,1.63210507433306,1114,0.63210507433306,1,quadrant:Q2
football,counterpressures,defensive,Q2,0.969810346624252,0.259646401208996,1.35065030004214,1114,0.350650300042138,2,quadrant:Q2
football,long_balls,unclassified,Q2,0.910794567313509,0.233333587240065,1.30391556320592,1114,0.303915563205923,3,quadrant:Q2
football,passes,attacking,Q3,0.838641165866262,-0.648614522247431,0.607492097224751,1114,0.392507902775249,1,quadrant:Q3
football,op_passes,unclassified,Q3,0.821726846811142,-0.602315856563399,0.625224733416656,1114,0.374775266583344,2,quadrant:Q3
football,sideways_passes,unclassified,Q3,0.814712192258882,-0.589203603556241,0.630467604834774,1114,0.369532395165226,3,quadrant:Q3
football,goalkeeper_long_balls,unclassified,Q4,1.00097391793437,-0.241160841090689,0.805697368067314,1114,0.194302631932686,1,quadrant:Q4
football,set_pieces,unclassified,Q4,1.04128168010571,-0.125398763807377,0.888594177355996,1114,0.111405822644004,2,quadrant:Q4
football,pressures_opposition_half,unclassified,Q4,1.00044914268441,-0.0552722659987057,0.947622744897748,1114,0.0523772551022524,3,quadrant:Q4
rugby,kick_metres,attacking,Q1,1.05930311126294,0.648626981661871,2.84380113165015,283,1.84380113165015,1,quadrant:Q1
rugby,kicks_from_hand,attacking,Q1,1.12685656480793,0.607283070019013,2.5393722778852,283,1.5393722778852,2,quadrant:Q1
rugby,general_play_pens_conceded,discipline,Q1,1.34452500897858,0.0693627485928981,1.07366380996408,283,0.0736638099640838,3,quadrant:Q1
rugby,rucks_won,attacking,Q2,0.820468178527418,0.818178267756076,5.38183896817112,283,4.38183896817112,1,quadrant:Q2
rugby,turnovers_won,defensive,Q2,0.985435794446753,0.1590870396334,1.18917766417384,283,0.189177664173844,2,quadrant:Q2
rugby,offloads,attacking,Q2,0.694872192849492,0.128551987818191,1.1447562513383,283,0.144756251338298,3,quadrant:Q2
rugby,lineout_throws_won,attacking,Q3,0.918267037086238,-0.223808154256659,0.817257263595814,283,0.182742736404186,1,quadrant:Q3
rugby,passes,attacking,Q3,0.842536695061463,-0.14289920552267,0.875368206324748,283,0.124631793675252,2,quadrant:Q3
rugby,scrums_won,attacking,Q3,0.970278907175971,-0.130650058051742,0.884458582711105,283,0.115541417288895,3,quadrant:Q3
rugby,tackles,defensive,Q4,1.01687421761348,-0.158395622736632,0.8632670619467,283,0.1367329380533,1,quadrant:Q4
rugby,missed_tackles,defensive,Q4,1.18345357478382,-0.0432363469782904,0.958696050776876,283,0.0413039492231237,2,quadrant:Q4
football,passes,attacking,Q3,0.838641165866262,-0.648614522247431,0.607492097224751,1114,0.392507902775249,1,role:attacking
football,deep_progressions,attacking,Q3,0.739140158184316,-0.56994134235438,0.639593288233974,1114,0.360406711766026,2,role:attacking
football,successful_passes,attacking,Q3,0.818623943492114,-0.526309957953207,0.65630323491256,1114,0.34369676508744,3,role:attacking
football,regains,defensive,Q2,0.958751609370636,0.38738025378103,1.63210507433306,1114,0.63210507433306,1,role:defensive
football,counterpressures,defensive,Q2,0.969810346624252,0.259646401208996,1.35065030004214,1114,0.350650300042138,2,role:defensive
football,ball_recoveries,defensive,Q2,0.927155430385563,0.18490458804013,1.2266513782459,1114,0.226651378245896,3,role:defensive
football,yellow_cards,discipline,Q1,1.09767867494664,0.160917178101385,1.19152959367071,1114,0.191529593670708,1,role:discipline
football,red_cards,discipline,Q1,1.40868919683257,0.104067007240368,1.11427823840128,1114,0.114278238401282,2,role:discipline
football,fouls,discipline,Q4,1.15718244175162,-0.0467198173217799,0.955478862051575,1114,0.0445211379484252,3,role:discipline
rugby,rucks_won,attacking,Q2,0.820468178527418,0.818178267756076,5.38183896817112,283,4.38183896817112,1,role:attacking
rugby,kick_metres,attacking,Q1,1.05930311126294,0.648626981661871,2.84380113165015,283,1.84380113165015,2,role:attacking
rugby,kicks_from_hand,attacking,Q1,1.12685656480793,0.607283070019013,2.5393722778852,283,1.5393722778852,3,role:attacking
rugby,turnovers_won,defensive,Q2,0.985435794446753,0.1590870396334,1.18917766417384,283,0.189177664173844,1,role:defensive
rugby,tackles,defensive,Q4,1.01687421761348,-0.158395622736632,0.8632670619467,283,0.1367329380533,2,role:defensive
rugby,turnovers_conceded,defensive,Q2,0.927600270153429,0.0936757567858942,1.10327742273993,283,0.103277422739934,3,role:defensive
rugby,scrum_pens_conceded,discipline,Q3,0.989291932185054,-0.126076166862636,0.888040837269668,283,0.111959162730332,1,role:discipline
rugby,free_kicks_conceded,discipline,Q2,0.935898425439951,0.0891783393694309,1.0978508272783,283,0.0978508272782981,2,role:discipline
rugby,general_play_pens_conceded,discipline,Q1,1.34452500897858,0.0693627485928981,1.07366380996408,283,0.0736638099640838,3,role:discipline
